City,lat,lng,,,,,city,state_id
"Woods Creek, WA",47.8821,-121.8982,,,,,Woods Creek,WA
"Washougal, WA",45.5812,-122.3433,,,,,Washougal,WA
"Sisco Heights, WA",48.1188,-122.1076,,,,,Sisco Heights,WA
"Canterwood, WA",47.3766,-122.6022,,,,,Canterwood,WA
"Wapato, WA",46.4434,-120.4215,,,,,Wapato,WA
"Lower Elochoman, WA",46.2185,-123.3698,,,,,Lower Elochoman,WA
"Lake Goodwin, WA",48.1387,-122.2804,,,,,Lake Goodwin,WA
"Banks Lake South, WA",47.6315,-119.276,,,,,Banks Lake South,WA
"Kent, WA",47.3887,-122.2128,,,,,Kent,WA
"Bickleton, WA",46.0056,-120.3081,,,,,Bickleton,WA
"Ryderwood, WA",46.375,-123.0441,,,,,Ryderwood,WA
"Cavalero, WA",47.9845,-122.0746,,,,,Cavalero,WA
"La Conner, WA",48.3925,-122.4945,,,,,La Conner,WA
"Martha Lake, WA",47.848,-122.2326,,,,,Martha Lake,WA
"George, WA",47.0845,-119.8598,,,,,George,WA
"Snohomish, WA",47.9277,-122.097,,,,,Snohomish,WA
"Eatonville, WA",46.8682,-122.2698,,,,,Eatonville,WA
"Carson, WA",45.7353,-121.8219,,,,,Carson,WA
"Almira, WA",47.7105,-118.9369,,,,,Almira,WA
"Nooksack, WA",48.9276,-122.3211,,,,,Nooksack,WA
"Mount Vista, WA",45.7373,-122.6315,,,,,Mount Vista,WA
"High Bridge, WA",47.7968,-122.0281,,,,,High Bridge,WA
"Lakeland South, WA",47.2784,-122.2831,,,,,Lakeland South,WA
"Kenmore, WA",47.7532,-122.2459,,,,,Kenmore,WA
"Neah Bay, WA",48.3612,-124.6115,,,,,Neah Bay,WA
"Cliffdell, WA",46.9213,-121.042,,,,,Cliffdell,WA
"Port Angeles East, WA",48.1041,-123.3695,,,,,Port Angeles East,WA
"Burien, WA",47.4762,-122.3393,,,,,Burien,WA
"Taholah, WA",47.3283,-124.2728,,,,,Taholah,WA
"Wauna, WA",47.386,-122.6694,,,,,Wauna,WA
"Connell, WA",46.6624,-118.8405,,,,,Connell,WA
"Disautel, WA",48.345,-119.2299,,,,,Disautel,WA
"Santiago, WA",47.2975,-124.2327,,,,,Santiago,WA
"Orting, WA",47.0966,-122.2111,,,,,Orting,WA
"Colville, WA",48.5454,-117.8986,,,,,Colville,WA
"Marysville, WA",48.081,-122.1558,,,,,Marysville,WA
"Walla Walla, WA",46.0669,-118.3365,,,,,Walla Walla,WA
"Zillah, WA",46.4083,-120.2717,,,,,Zillah,WA
"Curlew, WA",48.8777,-118.6045,,,,,Curlew,WA
"Key Center, WA",47.3376,-122.7505,,,,,Key Center,WA
"Hoodsport, WA",47.402,-123.1542,,,,,Hoodsport,WA
"Spanaway, WA",47.0979,-122.4233,,,,,Spanaway,WA
"Mattawa, WA",46.7364,-119.9019,,,,,Mattawa,WA
"Clallam Bay, WA",48.2536,-124.2579,,,,,Clallam Bay,WA
"Prairie Ridge, WA",47.1443,-122.1408,,,,,Prairie Ridge,WA
"Rockport, WA",48.4854,-121.6065,,,,,Rockport,WA
"Stansberry Lake, WA",47.3814,-122.7154,,,,,Stansberry Lake,WA
"Copalis Beach, WA",47.1205,-124.1722,,,,,Copalis Beach,WA
"Frederickson, WA",47.0914,-122.3594,,,,,Frederickson,WA
"Asotin, WA",46.3371,-117.0433,,,,,Asotin,WA
"Mill Creek, WA",47.8633,-122.2034,,,,,Mill Creek,WA
"Bell Hill, WA",48.055,-123.087,,,,,Bell Hill,WA
"Green Bluff, WA",47.819,-117.277,,,,,Green Bluff,WA
"Clayton, WA",48.0013,-117.5612,,,,,Clayton,WA
"Puyallup, WA",47.1794,-122.2902,,,,,Puyallup,WA
"Hockinson, WA",45.7301,-122.4833,,,,,Hockinson,WA
"Lake McMurray, WA",48.3129,-122.2317,,,,,Lake McMurray,WA
"Bucoda, WA",46.7968,-122.868,,,,,Bucoda,WA
"Issaquah, WA",47.542,-122.0444,,,,,Issaquah,WA
"Odessa, WA",47.3326,-118.6895,,,,,Odessa,WA
"Hazel Dell, WA",45.6797,-122.6553,,,,,Hazel Dell,WA
"McMillin, WA",47.1286,-122.2374,,,,,McMillin,WA
"Wilbur, WA",47.7583,-118.711,,,,,Wilbur,WA
"Skamokawa Valley, WA",46.3004,-123.4243,,,,,Skamokawa Valley,WA
"Centerville, WA",45.754,-120.9081,,,,,Centerville,WA
"Nile, WA",46.8368,-120.9455,,,,,Nile,WA
"Spokane Valley, WA",47.6625,-117.2346,,,,,Spokane Valley,WA
"Woodland, WA",45.9149,-122.7503,,,,,Woodland,WA
"Lewisville, WA",45.8127,-122.5144,,,,,Lewisville,WA
"Vantage, WA",46.9453,-119.9923,,,,,Vantage,WA
"Gorst, WA",47.5237,-122.7057,,,,,Gorst,WA
"Lake Morton-Berrydale, WA",47.3325,-122.103,,,,,Lake Morton-Berrydale,WA
"Ione, WA",48.7402,-117.4223,,,,,Ione,WA
"Bothell West, WA",47.8056,-122.24,,,,,Bothell West,WA
"Vaughn, WA",47.355,-122.7773,,,,,Vaughn,WA
"Black Diamond, WA",47.313,-122.0181,,,,,Black Diamond,WA
"Ferndale, WA",48.8525,-122.5893,,,,,Ferndale,WA
"Acme, WA",48.7146,-122.2293,,,,,Acme,WA
"White Center, WA",47.5086,-122.348,,,,,White Center,WA
"Fairchild AFB, WA",47.6187,-117.6485,,,,,Fairchild AFB,WA
"Pacific, WA",47.2611,-122.2507,,,,,Pacific,WA
"Glenwood, WA",46.0228,-121.2926,,,,,Glenwood,WA
"Colfax, WA",46.9032,-117.3394,,,,,Colfax,WA
"Silvana, WA",48.2018,-122.2459,,,,,Silvana,WA
"Forks, WA",47.9526,-124.3904,,,,,Forks,WA
"Kirkland, WA",47.6997,-122.2041,,,,,Kirkland,WA
"Okanogan, WA",48.3671,-119.5784,,,,,Okanogan,WA
"Kayak Point, WA",48.1387,-122.3342,,,,,Kayak Point,WA
"Union Hill-Novelty Hill, WA",47.6788,-122.0284,,,,,Union Hill-Novelty Hill,WA
"Outlook, WA",46.3311,-120.0923,,,,,Outlook,WA
"Lake Tapps, WA",47.2305,-122.1696,,,,,Lake Tapps,WA
"Cohassett Beach, WA",46.8656,-124.1054,,,,,Cohassett Beach,WA
"Tonasket, WA",48.7077,-119.4412,,,,,Tonasket,WA
"Sunnyside, WA",46.3159,-120.0058,,,,,Sunnyside,WA
"Lakeview, WA",47.3755,-119.5043,,,,,Lakeview,WA
"Carbonado, WA",47.0805,-122.0536,,,,,Carbonado,WA
"Pullman, WA",46.734,-117.1669,,,,,Pullman,WA
"Blyn, WA",48.013,-122.9897,,,,,Blyn,WA
"Brinnon, WA",47.6689,-122.9249,,,,,Brinnon,WA
"Friday Harbor, WA",48.5324,-123.0655,,,,,Friday Harbor,WA
"Orchards, WA",45.6888,-122.5305,,,,,Orchards,WA
"Purdy, WA",47.3938,-122.6114,,,,,Purdy,WA
"Tekoa, WA",47.2247,-117.0732,,,,,Tekoa,WA
"Tanner, WA",47.4813,-121.6921,,,,,Tanner,WA
"Thorp, WA",47.0656,-120.6709,,,,,Thorp,WA
"Artondale, WA",47.3024,-122.639,,,,,Artondale,WA
"Liberty Lake, WA",47.6687,-117.1032,,,,,Liberty Lake,WA
"Cheney, WA",47.4901,-117.5789,,,,,Cheney,WA
"Sammamish, WA",47.6019,-122.0419,,,,,Sammamish,WA
"Cle Elum, WA",47.1946,-120.9553,,,,,Cle Elum,WA
"Fern Prairie, WA",45.637,-122.3963,,,,,Fern Prairie,WA
"Waverly, WA",47.338,-117.2312,,,,,Waverly,WA
"Lakewood, WA",47.1628,-122.5299,,,,,Lakewood,WA
"Lake Marcel-Stillwater, WA",47.6926,-121.9152,,,,,Lake Marcel-Stillwater,WA
"Central Park, WA",46.9705,-123.7018,,,,,Central Park,WA
"Bridgeport, WA",48.0063,-119.6737,,,,,Bridgeport,WA
"Raft Island, WA",47.3293,-122.6686,,,,,Raft Island,WA
"Larch Way, WA",47.8429,-122.2527,,,,,Larch Way,WA
"Lake Bosworth, WA",48.0532,-121.9812,,,,,Lake Bosworth,WA
"Barberton, WA",45.7136,-122.6114,,,,,Barberton,WA
