,Flight Date,Carrier,ORIGIN,DEST,DEP_DELAY_NEW,ARR_DELAY_NEW,FLIGHTS,WEATHER_DELAY
308,2017-09-22,DL,IAH,ATL,20.0,19.0,1.0,0.0
309,2017-09-24,DL,IAH,ATL,37.0,23.0,1.0,0.0
310,2017-09-24,DL,IAH,ATL,24.0,18.0,1.0,0.0
311,2017-09-25,DL,IAH,ATL,78.0,69.0,1.0,0.0
312,2017-09-29,DL,IAH,ATL,94.0,77.0,1.0,0.0
313,2017-09-29,DL,IAH,ATL,13.0,18.0,1.0,0.0
314,2017-10-01,DL,IAH,ATL,126.0,114.0,1.0,0.0
315,2017-10-03,DL,IAH,ATL,3.0,61.0,1.0,0.0
316,2017-10-03,DL,IAH,ATL,30.0,37.0,1.0,0.0
317,2017-10-03,DL,IAH,ATL,26.0,18.0,1.0,0.0
318,2017-10-03,DL,IAH,ATL,54.0,47.0,1.0,39.0
319,2017-10-03,DL,IAH,ATL,36.0,53.0,1.0,0.0
320,2017-10-04,DL,IAH,ATL,50.0,49.0,1.0,0.0
321,2017-10-08,DL,IAH,ATL,30.0,20.0,1.0,0.0
322,2017-10-09,DL,IAH,ATL,24.0,30.0,1.0,0.0
323,2017-10-09,DL,IAH,ATL,86.0,75.0,1.0,0.0
324,2017-10-09,DL,IAH,ATL,62.0,64.0,1.0,0.0
325,2017-10-09,DL,IAH,ATL,36.0,26.0,1.0,0.0
326,2017-10-09,DL,IAH,ATL,66.0,56.0,1.0,0.0
327,2017-10-10,DL,IAH,ATL,18.0,19.0,1.0,0.0
328,2017-10-10,DL,IAH,ATL,0.0,18.0,1.0,0.0
329,2017-10-11,DL,IAH,ATL,36.0,28.0,1.0,0.0
330,2017-10-13,DL,IAH,ATL,31.0,16.0,1.0,0.0
331,2017-10-13,DL,IAH,ATL,2.0,15.0,1.0,0.0
332,2017-10-13,DL,IAH,ATL,27.0,35.0,1.0,0.0
333,2017-10-13,DL,IAH,ATL,64.0,58.0,1.0,0.0
334,2017-10-15,DL,IAH,ATL,24.0,27.0,1.0,0.0
335,2017-10-16,DL,IAH,ATL,23.0,19.0,1.0,0.0
336,2017-10-16,DL,IAH,ATL,0.0,15.0,1.0,0.0
337,2017-10-18,DL,IAH,ATL,31.0,16.0,1.0,0.0
338,2017-10-20,DL,IAH,ATL,19.0,18.0,1.0,0.0
339,2017-10-21,DL,IAH,MSP,83.0,65.0,1.0,0.0
340,2017-10-21,DL,IAH,ATL,36.0,24.0,1.0,0.0
341,2017-10-22,DL,IAH,ATL,26.0,22.0,1.0,0.0
342,2017-10-22,DL,IAH,ATL,13.0,21.0,1.0,13.0
343,2017-10-23,DL,IAH,ATL,102.0,90.0,1.0,0.0
344,2017-10-23,DL,IAH,ATL,43.0,41.0,1.0,0.0
345,2017-10-23,DL,IAH,ATL,19.0,17.0,1.0,0.0
346,2017-10-23,DL,IAH,ATL,75.0,65.0,1.0,0.0
347,2017-10-23,DL,IAH,ATL,0.0,77.0,1.0,0.0
348,2017-10-24,DL,IAH,ATL,43.0,29.0,1.0,0.0
349,2017-10-27,DL,IAH,ATL,56.0,60.0,1.0,0.0
350,2017-10-27,DL,IAH,ATL,31.0,25.0,1.0,0.0
351,2017-10-28,DL,IAH,ATL,59.0,45.0,1.0,0.0
352,2017-10-30,DL,IAH,ATL,46.0,26.0,1.0,0.0
353,2017-11-01,DL,IAH,ATL,0.0,17.0,1.0,0.0
354,2017-11-05,DL,IAH,ATL,54.0,36.0,1.0,0.0
355,2017-11-08,DL,IAH,ATL,31.0,22.0,1.0,0.0
356,2017-11-08,DL,IAH,ATL,18.0,43.0,1.0,0.0
357,2017-11-08,DL,IAH,ATL,25.0,23.0,1.0,0.0
358,2017-11-12,DL,IAH,ATL,36.0,18.0,1.0,0.0
359,2017-11-26,DL,IAH,ATL,31.0,18.0,1.0,0.0
360,2017-11-27,DL,IAH,ATL,64.0,58.0,1.0,0.0
